property_type,prices,prop_description,locations,beds_num,baths_num,area
Townhouse,"22,000,000 EGP",VILLA PRIME LOCATION FULLY FINISHED | LOWEST PRICE,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3,4, 300 sqm
Chalet,"7,280,000 EGP",Chalet 1 BR Finished With DP 15% Installment 6Y,"Veranda, Sahl Hasheesh, Hurghada, Red Sea",1,1, 73 sqm
Twin House,"26,000,000 EGP",VILLA PRIME LOCATION FINISHED | LIMITED UNITS !!,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",4,5, 350 sqm
Chalet,"7,200,000 EGP",Chalet 1 BR Finished Pool View Installment 6Years,"Veranda, Sahl Hasheesh, Hurghada, Red Sea",1,1, 73 sqm
Villa,"30,000,000 EGP",VILLA PRIME LOCATION FULLY FINISHED | LOWEST DP !,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",5,6, 400 sqm
Apartment,"7,500,000 EGP",THE LUXURY OPEN VIEW IN APARTMENT ON 10 Y PAYMENT!,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,2, 100 sqm
Apartment,"8,000,000 EGP",FULLY FINISHED APARTMENT IN GOLF VIEW OVER 10YEARS,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 110 sqm
Apartment,"9,250,000 EGP",LUXURY APARTMENT IN 5th SETTLEMENT : CALL US NOW!!,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 130 sqm
Chalet,"10,000,000 EGP",OWN FULLY FINISHED CHALET DIRECT ON OPEN LAGOON! !,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",2,3, 150 sqm
Chalet,"15,000,000 EGP",3BR CHALET FOR SALE IN PRIME LOCATION IN NEW GOUNA,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,4, 160 sqm
Chalet,"10,000,000 EGP",OWN FULLY FINISHED CHALET DIRECT ON OPEN LAGOON! !,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",2,3, 150 sqm
Chalet,"15,000,000 EGP",3BR CHALET FOR SALE IN PRIME LOCATION IN NEW GOUNA,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,4, 160 sqm
Chalet,"10,000,000 EGP",FULLY FINISHED CHALET SEA VIEW OVER 7YEARS PAYMENT,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",2,3, 155 sqm
Chalet,"11,000,000 EGP",SEA VIEW CHALET WITH 0%DOWNPAYMENT FULLY FINISHED!,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,4, 160 sqm
Apartment,"7,500,000 EGP",OWN YOUR APARTMENT IN O WEST WITH 9 YEARS PAYMENT!,"O West, 6 October Compounds, 6 October City, Giza",2,3, 100 sqm
Apartment,"8,400,000 EGP",LUXURY PENTHOUSE IN O WEST || PAYMENT OVER 9YEARS!,"O West, 6 October Compounds, 6 October City, Giza",3,4, 160 sqm
Villa,"18,000,000 EGP",4BR LUXURY VILLA FOR SALE IN OCTOBER BY ORASCOM! !,"O West, 6 October Compounds, 6 October City, Giza",4,5, 220 sqm
Apartment,"3,500,000 EGP",شقه للبيع 90م في مرسي مطروح بكومباوند باهيا,"Bahya, Marsa Matrouh, Matrouh",2,1, 100 sqm
