property_type,prices,prop_description,locations,beds_num,baths_num,area
Villa,"30,000,000 EGP",Villa 148m for Sale in Diamond Resort –North Coast,"Diamond Beach, Al Alamein, North Coast",5,5, 148 sqm
Apartment,"10,500,000 EGP","Apartment for Sale – Nasr City, Hassan Al-Mamoun","Hassan Ma'moon St., 6th Zone, Nasr City, Cairo",3,2, 350 sqm
Villa,"48,000,000 EGP",Stand Alone for Sale in Mivida Parcel 22,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 224 sqm
Apartment,"13,500,000 EGP","Apartment for Sale, Heliopolis Thawra &amp; Almaza St.","Emarat Dobat Almaza, Al Thawra St., Almazah, Heliopolis - Masr El Gedida, Cairo",4,4, 400 sqm
Apartment,"5,659,300 EGP","Apartment for Sale – The Curve Compound,","The Curve, New Capital Compounds, New Capital City, Cairo",3,3, 167 sqm
Apartment,"2,062,500 EGP","Apartment for Sale – Al Waha, Nasr City","Street 5, Al Waha City, 10th District, Nasr City, Cairo",2,1, 125 sqm
Duplex,"6,500,000 EGP",Duplex 212 m² for Sale in Narges Buildings,"El Narges Buildings, Al Narges, New Cairo City, Cairo",2,2, 212 sqm
Apartment,"8,500,000 EGP","Apartment for Sale in South Academy, New Cairo","Taha Hussein Axia, District 4, The 5th Settlement, New Cairo City, Cairo",2,2, 190 sqm
Chalet,"14,000,000 EGP",Luxury 1Bedroom Ground Chalet with Garden Marassi,"Marassi, Sidi Abdel Rahman, North Coast",1,1, 108 sqm
Apartment,"7,500,000 EGP",Own 3 Bedrooms Ready to move Apartment Great price,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2, 162 sqm
Apartment,"7,000,000 EGP",Hot Deal Apartment 176 M Open View 3 Bedrooms,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 176 sqm
Villa,"52,200,000 EGP",Elitte Villa 495 M Prime Location 6 Bedrooms Azzar,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,6, 495 sqm
Twin House,"42,000,000 EGP",Fully Finished Luxury 414 M Twin house under price,"Al Patio 1, North Investors Area, New Cairo City, Cairo",4,5, 414 sqm
Twin House,"35,000,000 EGP",Twin House Fully Finished ultra super lux Finish,"Privado, Madinaty, Cairo",6,4, 607 sqm
Apartment,"11,700,000 EGP",Luxury Apartment with Terracce Very prime Location,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",2,3, 129 sqm
Townhouse,"20,000,000 EGP",Town house villa fully finished Under price,"LVLS By Mountain View, Qesm Ad Dabaah, North Coast",3,5, 185 sqm
Apartment,"9,500,000 EGP",Luxury Apartment 210 M Direct on lake under price,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 210 sqm
Apartment,"7,450,000 EGP",Hot Deal - Fully Finished - Under price Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 108 sqm
Apartment,"4,345,000 EGP","Apartment for sale in Beit Al Watan, Fourth Distri","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2, 195 sqm
Chalet,"19,000,000 EGP",Luxury Chalet Direct on pool under price | Marassi,"Marassi, Sidi Abdel Rahman, North Coast",3,3, 185 sqm
Apartment,"2,945,000 EGP",شقة على البحيرات الصناعية مقدم 440 الف على 8 سنوات,"Ard Al Mokhabarat, Hadayek October, 6 October City, Giza",2,2, 95 sqm
Villa,"48,000,000 EGP",Premium High End Finishing 425 M Villa RTM,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 425 sqm
Apartment,"4,870,000 EGP","Apartment for sale in Beit Al Watan, Fourth Distri","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3, 220 sqm
Villa,"63,000,000 EGP",Elitte Fully Finished Standalone At Great price,"Hyde Park, New Cairo City, Cairo",5,5, 611 sqm
Apartment,"2,850,000 EGP",شقة 158 متر واجهة امامية بحدائق الاهرام منطقه ن,"Gate 4 - Mena, Hadayek El Ahram, Giza",3,2, 158 sqm
Villa,"31,000,000 EGP",Villa for sale in Fifth Square ( Marasem ),"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",5,4, 370 sqm
Apartment,"3,025,000 EGP","High-Demand Flat in Mark Resort, 55 m² Pool View","El Kawther District, Hurghada, Red Sea",1,1, 55 sqm
Apartment,"2,331,875 EGP","Rare Deal: Sea View 1 BR Flat, Green Contract, 4 Y","La Gouna Resort, Hurghada Resorts, Hurghada, Red Sea",1,1, 65 sqm
Apartment,"1,637,950 EGP",Exceptional Offer: 47 m² Studio Facing the Pools,"La Gouna Resort, Hurghada Resorts, Hurghada, Red Sea", studio,1, 47 sqm
Land,"2,400,000 EGP",ارض جرين اكتوبر اسكان فاخر ١٠٠٠م حوض ٢٨ قطعه رقم ٨,"Green Belt Gate 6 Road, Green Belt, 6 October City, Giza",2,2," 1,000 sqm"
Apartment,"5,500,000 EGP","Delivery Apt FF+Ac installment-12y monthly 27,000","New Garden City, New Capital Compounds, New Capital City, Cairo",3,3, 125 sqm
Apartment,"4,800,000 EGP",Discount up to 20% installment 10y Apt-3bed,"Armonia, New Capital Compounds, New Capital City, Cairo",3,3, 140 sqm
Apartment,"2,900,000 EGP",Discount 55% Own apt 3-bed in midtown sky 3rdfloor,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",3,3, 145 sqm
Apartment,"4,200,000 EGP",Delivery Apt FF Installment upto 10y View landscap,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,3, 175 sqm
Apartment,"10,900,000 EGP",Dp 1milion apt 160m Installment 10y view lakes,"The Crest, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Apartment,"12,000,000 EGP",Dp600k own apt installment-10y delivery 2y,"Bluetree Compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,1, 160 sqm
Apartment,"8,000,000 EGP","Apartment in Sarai, 100 square meters ","Elm Tree Park, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2, 100 sqm
Apartment,"9,000,000 EGP",Apartment 125m in Sarai Elm Tree Park,"Elm Tree Park, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 125 sqm
Apartment,"5,900,000 EGP",Discoint 15% own lowest apt 3-bed near lavista,"Jiwar, The 6th Settlement, New Cairo City, Cairo",3,2, 135 sqm
Chalet,"9,800,000 EGP","Chalet for sale, Sea and Lagoon view - Amwaj","Amwaj, Sidi Abdel Rahman, North Coast",6,5, 126 sqm
Penthouse,"21,000,000 EGP",BestPrice 5Beds Penthouse BestView on Big Park,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 286 sqm
Penthouse,"12,000,000 EGP",LowestPrice Penthouse 175M2 FullyFinished 3Bedroom,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,2, 175 sqm
Apartment,"10,000,000 EGP",Lowest Price 3Bedrooms Marasem FullyFinished,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,4, 150 sqm
Penthouse,Ask for price,Best Deal Penthouse 180Meters FullyFinished,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 180 sqm
Twin House,Ask for price,Best Offer FullyFinished Twin Prime View -Elevator,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5, 313 sqm
Apartment,"10,250,000 EGP",Best Price Paynow 5Millon till 2030 finished ACS,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",2,2, 130 sqm
Apartment,"14,000,000 EGP",Lowest Price 3 beds Fully Finished V Residence,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 190 sqm
Apartment,"10,900,000 EGP",Best Offer 3beds -Garden 100meters Fully finished,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,2, 140 sqm
Apartment,"11,500,000 EGP",Fully finished With Acs- Ready to move -Best Price,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 180 sqm
Villa,Ask for price,Greenery View- Special Design - Below market price,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,7, 360 sqm
Apartment,"15,000,000 EGP",Best TotalPrice Fully Finished BestView 3Bedrooms,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 180 sqm
Apartment,"15,000,000 EGP",PayNow 5Million Lowest TotalPrice Delivery 3months,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",2,2, 134 sqm
Apartment,"15,000,000 EGP",Fully Furnished - ACS and Kitchen - Prime Location,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 190 sqm
Apartment,"13,680,000 EGP",Garden - Prime location - Remaining installments,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 195 sqm
Apartment,Ask for price,PayNow Less than 6million 3beds LowestTotal -Ready,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 167 sqm
Penthouse,"12,700,000 EGP",Fully finished With Acs - Kitchen - Best Price,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 175 sqm
Villa,"30,000,000 EGP",BestPrice Villa 5Beds PalmHills 500m2 Huge Garden,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,7, 385 sqm
Apartment,"14,350,000 EGP",PayNow 7 Million Fully finished 3Beds Garden Ready,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 172 sqm
Apartment,"7,700,000 EGP",Prime view - Facing North - Best price - RTM,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 158 sqm
Villa,"46,750,000 EGP",Below Market Price Largest Area - Prime Location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,5, 772 sqm
Townhouse,"14,900,000 EGP",Family House - Private garden - Best Price -Ready,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 202 sqm
Chalet,"6,500,000 EGP","Chalet with garden for sale - Blumar, North Coast","Bluemar Wadi Degla, Sidi Abdel Rahman, North Coast",3,2, 110 sqm
Apartment,"11,750,000 EGP",Ground Apartment - Lowest Price - Ready to move,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 178 sqm
Apartment,"10,750,000 EGP",Very Prime Location with Landscape view - RTM,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 213 sqm
Apartment,"9,400,000 EGP",Greenery View - installments 2028 - Ready to Move,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 205 sqm
Villa,"45,000,000 EGP",Best Layout - Perfect Price - Very Prime Location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,2, 515 sqm
Apartment,"8,750,000 EGP",Lowest Price - Prime Location - Near Club House,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 180 sqm
Apartment,"9,400,000 EGP",Installments till 6 years - RTM - Prime location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6, 250 sqm
Apartment,"10,500,000 EGP",Ready to move - Best price - Landscape view,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 238 sqm
Apartment,"8,650,000 EGP",Apartment 2nd Floor - Palm Hills New Cairo - RTM,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 180 sqm
Apartment,"8,800,000 EGP",Ready to move -Remaining Installments - Prime view,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 200 sqm
Chalet,"6,500,000 EGP","Chalet with garden for sale, Blumar, North Coast","Bluemar Wadi Degla, Sidi Abdel Rahman, North Coast",3,1, 135 sqm
iVilla,"19,500,000 EGP",i villa roof with lowest price in the market in MV,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 305 sqm
Apartment,"14,000,000 EGP",Delivery now Apt FF in trio with installment 7y,"TRIO, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 135 sqm
Apartment,"16,000,000 EGP",Spacious APT with generous living areas Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 274 sqm
Apartment,"9,500,000 EGP",own your apt with lowest price in new cairo offer,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 134 sqm
Apartment,"13,850,000 EGP",Discount 5% own apt FF installment 10y and dp 350k,"Mist, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
iVilla,"18,500,000 EGP",Spacious APT with private garden and elegant layou,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 230 sqm
Apartment,"9,900,000 EGP",Own Apt 3-bed installment 10y view land scape,"J East, South Investors Area, New Cairo City, Cairo",3,3, 160 sqm
Chalet,"9,195,000 EGP",For Sale Chalet Sea View - Downtown - City Edge,"Downtown, New Alamein City, Al Alamein, North Coast",3,3, 178 sqm
Apartment,"12,000,000 EGP",Delivery Apt FF+AC&#39;S in new cairo installm upto 6y,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Townhouse,"14,600,000 EGP",Dp 700k won town 265m installment 10y in new cairo,"Hyde Park, New Cairo City, Cairo",4,4, 265 sqm
Villa,"64,000,000 EGP",Villa Fully Finished Ready To Move Prime Location,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",6,6, 480 sqm
Apartment,"11,150,000 EGP",Dp560k own apt ins-8 near to zed east with lavista,"El Patio Riva, The 6th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Townhouse,"9,205,000 EGP","Townhouse for sale, Montenapoleone, Mostakbal City","MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5, 218 sqm
Villa,"19,000,000 EGP",Town House Fully Finished - READY TO MOVE,"Katameya Gardens, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,4, 310 sqm
Apartment,"10,500,000 EGP",Apartment With Prime Location - Special Price,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 144 sqm
Apartment,"5,200,000 EGP",APT With Garden Fully Finished Direct on Lagoon,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 128 sqm
Apartment,"8,000,000 EGP",Pay 400k installment-10y own apt 150m in tierra,"El Patio Vida, The 6th Settlement, New Cairo City, Cairo",3,3, 150 sqm
Apartment,"17,000,000 EGP",RTM Apartment Fully Finished With ACs and Kitchen,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 205 sqm
Apartment,"20,500,000 EGP",APT With Garden FULLY FINISHED and READY TO MOVE,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 210 sqm
Apartment,"5,000,000 EGP",Apartment READY TO MOVE with Very Special Price,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3,3, 192 sqm
Villa,"48,000,000 EGP",Villa FULLY FINISHED READY TO MOVE Special Price,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 425 sqm
iVilla,"14,500,000 EGP",IVILLA with Garden READY TO MOVE Prime Location,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 287 sqm
Chalet,"9,000,000 EGP",Chalet for sale Directly on the hotel phase lake,"Amwaj, Sidi Abdel Rahman, North Coast",2,2, 115 sqm
Penthouse,"10,770,000 EGP",Penthouse Finished READY TO MOVE Special Price,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 166 sqm
Apartment,"4,656,000 EGP",Apartment With 10% dp At R8 City Oval,"City Oval, New Capital Compounds, New Capital City, Cairo",2,2, 119 sqm
Townhouse,"18,500,000 EGP",Town House Finished and Furnished with Best Price,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4, 240 sqm
Villa,"14,000,000 EGP",Dp700 Installment 10y apt 3-bed view landscape,"Solay, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 170 sqm
Apartment,"8,200,000 EGP",APT Fully Finished Direct View on Majestic Lake,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 133 sqm
Apartment,"5,500,000 EGP",للبيع في مدينتي شقه 96 م B7 البيع ب الفرش والاجهزه,"Madinaty, Cairo",2,2, 96 sqm
Twin House,"16,500,000 EGP",For Sale Twin House furnished in Amwaj Near Beach,"Amwaj, Sidi Abdel Rahman, North Coast",4,3, 230 sqm
Apartment,"8,100,000 EGP",Own your Blue Tree Unit without dp over 10y,"Bluetree Compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 105 sqm
Apartment,"7,000,000 EGP",Apartment Finished with Kitchen READY TO MOVE,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 158 sqm
Townhouse,"11,000,000 EGP",Town House RESALE with Very Special Price,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 203 sqm
Chalet,"6,500,000 EGP",Ground Chalet with garden -  very prime location,"Furl Jefaira, Jefaira, Ras Al Hekma, North Coast",3,3, 144 sqm
Apartment,"11,500,000 EGP",prime location for apartment at azad,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 177 sqm
Twin House,"16,250,000 EGP",PRIME Twinhouse for sale in AZHA ain sokhna,"Azha, Al Ain Al Sokhna, Suez",4,4, 210 sqm
Twin House,"22,000,000 EGP",Twin House READY TO MOVE with Prime Location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5, 384 sqm
Villa,"33,000,000 EGP",The Largest Villa READY TO MOVE with Special Price,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5, 575 sqm
Cabin,"11,932,184 EGP",For sale Beach Cabana Fully Finished &amp; Furnished,"Hacienda West, Ras Al Hekma, North Coast",1,1, 45 sqm
Townhouse,"16,250,000 EGP",Town House READY TO MOVE with Prime Location,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 225 sqm
Apartment,"17,000,000 EGP",RTM Apartment With Garden FULLY FINISHED with ACs,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 175 sqm
iVilla,"18,500,000 EGP",Ready To Move IVilla with Garden FULLY FINISHED,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 287 sqm
Apartment,"6,300,000 EGP",Discount 10% Own apt 3-bed limited time instal-10y,"Najm, The 6th Settlement, New Cairo City, Cairo",3,3, 150 sqm
Chalet,"10,300,000 EGP",For sale Chalet in Savannah Phase + private garden,"Hacienda West, Ras Al Hekma, North Coast",2,2, 109 sqm
Apartment,"6,200,000 EGP",للبيع في مدينتي شقه في B11 مساحه 108م ارضي ب جاردن,"Madinaty, Cairo",3,2, 108 sqm
Villa,"6,850,000 EGP",Villa With Very Prime Location Direct on Pool,"Shalya Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 245 sqm
Townhouse,"19,800,000 EGP",Best Offer Town Corner Huge Garden BestView -Ready,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 292 sqm
Villa,"25,000,000 EGP",Lowest Price Viilla 334m2 Ready to move Best View,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 334 sqm
Villa,"27,500,000 EGP",Best Price Low DownPayment-Open Garden View -Ready,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 325 sqm
Villa,"80,000,000 EGP",For saleVilla 398 sqm first row lagoon Marassi,"Marassi, Sidi Abdel Rahman, North Coast",5,4, 398 sqm
Villa,"11,000,000 EGP",Town House With Very Special Price PRIME LOCATION,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 193 sqm
Villa,"37,500,000 EGP",Very prime location - Best Price - Good View,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,4, 386 sqm
Villa,"38,000,000 EGP",Largest BUA n Land Area Prime Location Best Price,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4, 500 sqm
Penthouse,"11,500,000 EGP",Penthouse RESALE Under Market Price PRIME LOCATION,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 235 sqm
Villa,Ask for price,Below Market Price - Ready to move - 3rd Row GOLF,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6, 386 sqm
Apartment,"4,620,000 EGP",Apartment in Beit Al Watan with installment,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2, 220 sqm
Twin House,"27,130,000 EGP",Lowest price Lowest Down payment - Near Delivery,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 270 sqm
Villa,"38,150,000 EGP",Lowest DownPayment-Delivery 2years- Prime Location,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 303 sqm
Townhouse,"23,230,000 EGP",Lowest DownPayment Town till 2032- 1year Delivery,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 260 sqm
Chalet,"10,751,000 EGP","You can now pick a unit in Sky North, pay over 10y","Silver Sands, Qesm Marsa Matrouh, North Coast",2,2, 95 sqm
Villa,"14,500,000 EGP",Town House READY TO MOVE with Very Special Price,"La Vista City, New Capital Compounds, New Capital City, Cairo",3,4, 230 sqm
Townhouse,"21,000,000 EGP",Lowest Price - Town Corner Huge Garden - Delivered,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 292 sqm
Chalet,"22,000,000 EGP",An opportunity chalet for sale directly pool,"Marassi, Sidi Abdel Rahman, North Coast",2,2, 126 sqm
Townhouse,"21,500,000 EGP",prime location for town house corner,"Hyde Park, New Cairo City, Cairo",4,3, 298 sqm
Apartment,"17,500,000 EGP",Apartment Fully Finished Ready To Move Prime View,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 204 sqm
